id,store,title,price,currency,sku,url,image_url,scraped_at
1,Clicks,,,,,https://clicks.co.za/infacare_stage-1-infant-starter-formula-1-8kg/p/68703,,2025-08-31T09:12:56.994436
2,Game,,,,,https://www.game.co.za/gameza/en/All-Departments/Baby-%26-Toddler/Feeding/Formula/INFACARE-1-POWDER-1.8KG/p/000000000000099479,,2025-08-31T09:15:00.907274
3,Woolworths,,279.99,R,,https://www.woolworths.co.za/cat/Baby/Baby-Food-Toiletries/Formula/_/N-o3ukzo,,2025-08-31T09:16:15.068733
4,PicknPay,,,,,https://www.pnp.co.za/c/baby-formula-stage-1903985685,,2025-08-31T09:17:26.937747
5,Takealot,,79.0,R,,https://www.takealot.com/infacare-no1-box-1-8kg/PLID20571795,,2025-08-31T09:18:58.897308
6,DisChem,Infacare,0.0,R,,https://www.dischem.co.za/shop-by-department/brands/brands-i/infacare,,2025-08-31T09:19:38.497034
7,BabyCity,Infacare 1.8kg Tin,0.0,R,,https://www.babycity.co.za/infacare-1-8kg-tin-670,,2025-08-31T09:20:24.523393
8,Makro,,,,,https://www.makro.co.za/baby-products-toys/baby-feeding/formula/infacare-1-powder-formula-1-8kg/p/000000000000274498_EA,,2025-08-31T09:22:28.590118
9,Checkers,403 ERROR,,,,https://www.checkers.co.za/,,2025-08-31T09:23:29.887562
10,Shoprite,Oh No!,,,,https://www.shoprite.co.za/c-309/All-Departments/Baby/Baby-Milk/Milk-Formula,,2025-08-31T09:24:32.383607
11,Takealot,"Oops!
Page not found.",239.0,R,,https://www.takealot.com/search?term=nestl%C3%A9+nido+3%2B,/ea3bd6500e7576480557ac7d99bc392c556fdd70/static/media/src/images/logo.svg-f6ccb489b85bbddf97d6.svg,2025-08-31T09:58:53.185979
12,Clicks,Supplier Brand Focus1,700.0,R,,https://www.clicks.co.za,,2025-08-31T10:01:39.711899
13,Game,Are you a human?,,,,https://www.game.co.za,,2025-08-31T10:03:23.117061
14,Woolworths,,,,,https://www.woolworths.co.za,/searchandcms/static/4988b3ffc8d587f493c2.svg,2025-08-31T10:05:20.831489
15,Pick n Pay,Shop Groceries & Food Online,18.99,R,,https://www.pnp.co.za,,2025-08-31T10:06:36.177858
16,Takealot,Featured Brands,499.0,R,,https://www.takealot.com,/ea3bd6500e7576480557ac7d99bc392c556fdd70/static/media/src/images/logo.svg-f6ccb489b85bbddf97d6.svg,2025-08-31T10:07:19.804029
17,Dischem,BREATHE BETTER. LIVE BETTER.,0.0,R,,https://www.dischem.co.za,https://www.dischem.co.za/api/logo/stores/1/logo.png,2025-08-31T10:08:12.220546
18,Baby City,,0.0,R,,https://www.babycity.co.za,https://www.babycity.co.za/api/logo/websites/1/Layer_1.png,2025-08-31T10:09:36.368762
19,Makro,Big Savings on Electronics,,,,https://www.makro.co.za,//www.makro.co.za/asset/fcc-nextgen-ui-user/fcc-cp-zion/p/img/mm-logo_71e9db.png,2025-08-31T10:10:57.462316
20,Checkers,HYPER PRICE DROP!,,,,https://www.checkers.co.za,https://catalog.sixty60.co.za/files/68a878857e3ac4108c227978,2025-08-31T10:12:31.242000
21,Shoprite,ALL SPECIALS,,,,https://www.shoprite.co.za,/medias/shoprite-logo-header.svg?context=bWFzdGVyfGltYWdlc3wxNzYzN3xpbWFnZS9zdmcreG1sfGltYWdlcy9oNjAvaDI3LzkwMzk1ODUxNDg5NTguc3ZnfDMwNGNhNThjMWQwMWI0MmQ5NjVmYWRkZDMxMzhlMzg0OGEzZTk4YjdiMzY2ZDM1ZjQ4NTEwNjdjZjc0Y2JmYzA,2025-08-31T10:13:52.784633
