id,store,title,price,currency,sku,url,image_url,scraped_at
20,Shoprite,,,,,https://www.shoprite.co.za,,2025-09-01T20:17:50.330185+00:00
19,Checkers,,,,,https://www.checkers.co.za,,2025-09-01T20:14:44.772453+00:00
18,Makro,,,,,https://www.makro.co.za,,2025-09-01T20:12:09.116534+00:00
17,Baby City,,,,,https://www.babycity.co.za,,2025-09-01T20:09:18.890296+00:00
16,Dischem,,,,,https://www.dischem.co.za,,2025-09-01T20:06:26.143661+00:00
15,Takealot,,,,,https://www.takealot.com,https://media.takealot.com/covers_images/6f40041cc6fc4658846fea1aceef66f9/s-xlpreview.file,2025-09-01T20:03:33.574316+00:00
14,Pick n Pay,,,,,https://www.pnp.co.za,,2025-09-01T20:01:49.774565+00:00
13,Woolworths,,,,,https://www.woolworths.co.za,,2025-09-01T19:59:01.736069+00:00
12,Game,,,,,https://www.game.co.za,,2025-09-01T19:55:57.693333+00:00
11,Clicks,,,,,https://www.clicks.co.za,,2025-09-01T19:52:59.839932+00:00
10,Shoprite,,,,,https://www.shoprite.co.za,,2025-08-31T10:54:40.441225+00:00
9,Checkers,,,,,https://www.checkers.co.za,,2025-08-31T10:51:49.289311+00:00
8,Makro,,,,,https://www.makro.co.za,,2025-08-31T10:49:23.681462+00:00
7,Baby City,,,,,https://www.babycity.co.za,,2025-08-31T10:46:36.875987+00:00
6,Dischem,,,,,https://www.dischem.co.za,,2025-08-31T10:43:52.791936+00:00
5,Takealot,,,,,https://www.takealot.com,https://media.takealot.com/covers_images/df1ece2555f04882a0c5f611ea721f8c/s-xlpreview.file,2025-08-31T10:41:13.958135+00:00
4,Pick n Pay,,,,,https://www.pnp.co.za,,2025-08-31T10:39:33.619483+00:00
3,Woolworths,,,,,https://www.woolworths.co.za,,2025-08-31T10:36:26.346914+00:00
2,Game,,,,,https://www.game.co.za,,2025-08-31T10:33:31.491580+00:00
1,Clicks,,,,,https://www.clicks.co.za,,2025-08-31T10:30:38.213346+00:00
